city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"White Horse","New Jersey","16000US3480630",4090.0,236.0,3854.0,3256.0,598.0,1175.0,3854.0,2603.0,2109.0,494.0,124.0,370.0,1251.0,1040.0,211.0,9028.0,7557.0,6099.0,6099.0,0.0,369.0,360.0,9.0,1089.0,1044.0,45.0,1471.0
"White House Station","New Jersey","16000US3480720",923.0,0.0,923.0,759.0,164.0,968.0,923.0,620.0,385.0,235.0,9.0,226.0,303.0,251.0,52.0,2055.0,1694.0,1107.0,1107.0,0.0,17.0,17.0,0.0,570.0,531.0,39.0,361.0
"White Meadow Lake","New Jersey","16000US3480750",3000.0,105.0,2895.0,2697.0,198.0,2001.0,2895.0,2296.0,2089.0,207.0,35.0,172.0,599.0,460.0,139.0,8638.0,7877.0,7164.0,7164.0,0.0,112.0,102.0,10.0,601.0,591.0,10.0,761.0
"Whitesboro","New Jersey","16000US3480840",999.0,125.0,874.0,828.0,46.0,1164.0,874.0,647.0,519.0,128.0,13.0,115.0,227.0,186.0,41.0,2111.0,1861.0,1469.0,1469.0,0.0,30.0,24.0,6.0,362.0,340.0,22.0,250.0
"Whittingham","New Jersey","16000US3481042",1556.0,183.0,1373.0,1335.0,38.0,,1373.0,820.0,808.0,12.0,0.0,12.0,553.0,497.0,56.0,2405.0,1796.0,1768.0,1768.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,609.0
"Wildwood","New Jersey","16000US3481170",7506.0,4913.0,2593.0,1172.0,1421.0,820.0,2593.0,1146.0,769.0,377.0,195.0,182.0,1447.0,1242.0,205.0,5226.0,3473.0,2602.0,2602.0,0.0,375.0,298.0,77.0,496.0,407.0,89.0,1753.0
"Wildwood Crest","New Jersey","16000US3481200",5442.0,3750.0,1692.0,1203.0,489.0,973.0,1692.0,1098.0,891.0,207.0,84.0,123.0,594.0,495.0,99.0,3282.0,2611.0,2163.0,2163.0,0.0,201.0,187.0,14.0,247.0,247.0,0.0,671.0
"Williamstown","New Jersey","16000US3481380",5773.0,310.0,5463.0,4223.0,1240.0,971.0,5463.0,3900.0,3010.0,890.0,217.0,673.0,1563.0,1232.0,331.0,15191.0,13178.0,10602.0,10466.0,136.0,620.0,557.0,63.0,1956.0,1911.0,45.0,2013.0
"Woodbine","New Jersey","16000US3481890",1110.0,328.0,782.0,416.0,366.0,602.0,782.0,618.0,239.0,379.0,114.0,265.0,164.0,141.0,23.0,1839.0,1652.0,737.0,737.0,0.0,247.0,198.0,49.0,668.0,625.0,43.0,187.0
"Woodbridge","New Jersey","16000US3481950",7076.0,143.0,6933.0,4268.0,2665.0,1583.0,6933.0,5160.0,3979.0,1181.0,481.0,700.0,1773.0,1547.0,226.0,19485.0,17455.0,13716.0,13699.0,17.0,1655.0,1547.0,108.0,2084.0,1885.0,199.0,2030.0
"Woodbury","New Jersey","16000US3482120",4439.0,463.0,3976.0,2484.0,1492.0,842.0,3976.0,2483.0,1515.0,968.0,211.0,757.0,1493.0,1303.0,190.0,9791.0,8084.0,4706.0,4701.0,5.0,740.0,689.0,51.0,2638.0,2492.0,146.0,1707.0
"Woodbury Heights","New Jersey","16000US3482180",1225.0,90.0,1135.0,1066.0,69.0,1115.0,1135.0,888.0,727.0,161.0,78.0,83.0,247.0,196.0,51.0,3047.0,2745.0,2211.0,2204.0,7.0,219.0,204.0,15.0,315.0,291.0,24.0,302.0
"Woodcliff Lake","New Jersey","16000US3482300",2072.0,75.0,1997.0,1795.0,202.0,2001.0,1997.0,1607.0,1447.0,160.0,30.0,130.0,390.0,320.0,70.0,5642.0,5178.0,4804.0,4804.0,0.0,61.0,61.0,0.0,313.0,301.0,12.0,464.0
"Woodland Park","New Jersey","16000US3482423",4712.0,345.0,4367.0,2629.0,1738.0,1271.0,4367.0,3015.0,2297.0,718.0,241.0,477.0,1352.0,1100.0,252.0,11857.0,10255.0,7554.0,7554.0,0.0,976.0,942.0,34.0,1725.0,1667.0,58.0,1602.0
"Woodlynne","New Jersey","16000US3482450",998.0,83.0,915.0,507.0,408.0,1115.0,915.0,640.0,300.0,340.0,96.0,244.0,275.0,230.0,45.0,2970.0,2588.0,1323.0,1312.0,11.0,345.0,309.0,36.0,920.0,893.0,27.0,382.0
"Wood Ridge","New Jersey","16000US3482570",3166.0,205.0,2961.0,2368.0,593.0,1575.0,2961.0,2270.0,1957.0,313.0,107.0,206.0,691.0,619.0,72.0,7887.0,7116.0,6100.0,6100.0,0.0,381.0,355.0,26.0,635.0,611.0,24.0,771.0
"Woodstown","New Jersey","16000US3482720",1499.0,119.0,1380.0,980.0,400.0,947.0,1380.0,973.0,709.0,264.0,88.0,176.0,407.0,374.0,33.0,3465.0,3005.0,2291.0,2291.0,0.0,235.0,226.0,9.0,479.0,479.0,0.0,460.0
"Wrightstown","New Jersey","16000US3482960",389.0,31.0,358.0,91.0,267.0,840.0,358.0,200.0,85.0,115.0,17.0,98.0,158.0,118.0,40.0,821.0,620.0,263.0,259.0,4.0,58.0,58.0,0.0,299.0,273.0,26.0,201.0
"Yardville","New Jersey","16000US3483170",2891.0,76.0,2815.0,2327.0,488.0,992.0,2815.0,2081.0,1665.0,416.0,146.0,270.0,734.0,636.0,98.0,7161.0,6295.0,4887.0,4887.0,0.0,531.0,509.0,22.0,877.0,844.0,33.0,866.0
"Yorketown","New Jersey","16000US3483245",2042.0,46.0,1996.0,1860.0,136.0,1850.0,1996.0,1709.0,1371.0,338.0,106.0,232.0,287.0,225.0,62.0,6405.0,6023.0,5020.0,5014.0,6.0,355.0,337.0,18.0,648.0,648.0,0.0,382.0
"Zarephath","New Jersey","16000US3483290",12.0,0.0,12.0,0.0,12.0,,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
